Variable	Commentaire	Date de départ	Heure de départ	Valeur
OUVRIR	Ouvrir la pince	04/06/2021	17:05:17,591	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:17,591	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:17,591	FAUX
fermee	Pince fermée.	04/06/2021	17:05:17,806	FAUX
ouvert	Pince ouverte.	04/06/2021	17:05:17,806	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:05:17,806	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:17,806	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:17,806	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:17,806	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:18,299	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:18,424	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:18,798	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:18,798	FAUX
STOPINT	Sortir le stoppeur intermédiaire (axe X )	04/06/2021	17:05:18,798	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:18,798	FAUX
stop_in	Stoppeur intermédiaire rentrée	04/06/2021	17:05:18,920	VRAI
stop_out	Stoppeur intermédiaire sortie	04/06/2021	17:05:18,920	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:05:21,105	VRAI
BLOQINT	Sortir la butée de la glissière intermédiaire	04/06/2021	17:05:21,105	FAUX
but_int	butée de la glissière intermédiaire sortie	04/06/2021	17:05:21,226	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:05:22,309	FAUX
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:05:22,309	VRAI
gliss_int	Glissière intermédiaire pleine	04/06/2021	17:05:22,492	VRAI
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:05:22,615	FAUX
gliss_int	Glissière intermédiaire pleine	04/06/2021	17:05:22,984	FAUX
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:05:23,902	VRAI
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:05:23,902	FAUX
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:05:24,025	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:05:24,788	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:05:27,209	VRAI
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:05:27,398	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:05:27,522	VRAI
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:05:27,645	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:05:27,771	VRAI
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:05:27,983	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:05:31,484	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:32,005	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:32,005	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:32,005	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:05:32,005	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:32,126	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:32,126	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:32,498	VRAI
FERMER	Fermer la pince	04/06/2021	17:05:32,498	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:32,498	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:32,498	FAUX
fermee	Pince fermée.	04/06/2021	17:05:32,621	VRAI
ouvert	Pince ouverte.	04/06/2021	17:05:32,621	FAUX
FERMER	Fermer la pince	04/06/2021	17:05:32,621	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:32,621	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:32,621	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:32,621	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:33,081	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:33,208	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:05:33,334	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:33,608	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:33,608	FAUX
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:05:33,608	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:33,608	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:05:33,791	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:05:34,590	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:34,590	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:34,590	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:05:34,590	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:34,590	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:34,714	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:34,714	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:35,079	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:05:35,079	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:35,079	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:35,079	FAUX
fermee	Pince fermée.	04/06/2021	17:05:35,205	FAUX
ouvert	Pince ouverte.	04/06/2021	17:05:35,325	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:05:35,325	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:35,325	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:35,325	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:35,325	VRAI
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:35,789	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:35,789	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:36,285	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:36,285	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:05:36,285	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:36,285	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:05:36,499	FAUX
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:05:36,499	VRAI
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:05:37,511	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:05:37,511	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:05:37,511	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:05:37,695	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:05:38,491	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:38,491	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:38,491	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:05:38,491	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:38,491	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:38,612	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:38,612	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:38,889	VRAI
FERMER	Fermer la pince	04/06/2021	17:05:39,010	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:39,010	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:39,010	FAUX
fermee	Pince fermée.	04/06/2021	17:05:39,102	VRAI
ouvert	Pince ouverte.	04/06/2021	17:05:39,102	FAUX
FERMER	Fermer la pince	04/06/2021	17:05:39,102	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:39,102	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:39,102	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:39,102	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:39,596	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:39,723	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:40,097	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:40,097	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:05:40,097	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:40,097	FAUX
